City Name,County Name, Total Revenue , Local Revenue ,% Local Revenue, Total Revenue per capita , Total Population ,Total Pop. MOE,,,,,,,
Delano,Kern," 53,464,941 "," 38,379,382 ",71.78," 1,021 "," 52,342 ",44,,,,,,,
Maricopa,Kern," 862,281 "," 553,349 ",64.17, 674 ," 1,280 ",192,,,,,,,
McFarland,Kern," 16,662,503 "," 15,899,573 ",95.42," 1,330 "," 12,530 ",22,,,,,,,
Ridgecrest,Kern," 20,090,594 "," 17,622,771 ",87.82, 728 ," 27,587 ",30,,,,,,,
Shafter,Kern," 34,475,718 "," 32,082,757 ",93.06," 2,063 "," 16,709 ",24,,,,,,,
Taft,Kern,<Null>,<Null>,<Null>, <Null> ," 9,413 ",18,,,,,,,
Tehachapi,Kern," 14,090,215 "," 11,801,547 ",83.76, 983 ," 14,332 ",19,,,,,,,
Wasco,Kern," 18,405,427 "," 12,230,792 ",66.78, 723 ," 25,457 ",48,,,,,,,
Avenal,Kings," 12,457,788 "," 9,211,625 ",73.94, 793 ," 15,705 ",20,,,,,,,
Corcoran,Kings," 13,684,262 "," 12,177,594 ",89.63, 545 ," 25,113 ",48,,,,,,,
Hanford,Kings," 52,045,470 "," 44,293,988 ",85.11, 979 ," 53,159 ",53,,,,,,,
Lemoore,Kings," 22,643,041 "," 20,108,232 ",89.29, 935 ," 24,217 ",34,,,,,,,
Clearlake,Lake," 5,867,545 "," 4,235,377 ",74.94, 388 ," 15,134 ",42,,,,,,,
Lakeport,Lake," 8,591,143 "," 7,108,215 ",82.74," 1,790 "," 4,799 ",18,,,,,,,
Susanville,Lassen," 48,944,362 "," 47,438,817 ",96.92," 2,761 "," 17,728 ",46,,,,,,,
Agoura Hills,Los Angeles," 16,639,271 "," 12,517,817 ",82.17, 818 ," 20,353 ",40,,,,,,,
Alhambra,Los Angeles," 103,579,205 "," 93,836,014 ",91.59," 1,243 "," 83,301 ",58,,,,,,,
Arcadia,Los Angeles," 77,961,172 "," 72,688,687 ",93.24," 1,392 "," 55,993 ",47,,,,,,,
Artesia,Los Angeles," 8,475,327 "," 7,414,219 ",87.48, 514 ," 16,495 ",51,,,,,,,
